product_id,product_name,category,sub_category,brand,price,cost_price,launch_date,is_active
P-1,Product_1,Grocery,Beverages,Brand_56,36149.72,24826.37,2022-05-14,N
P-2,Product_2,Electronics,Mobile,Brand_2,46062.95,35713.0,2022-03-12,Y
P-3,Product_3,Grocery,Food,Brand_86,18026.48,12322.79,2022-01-07,Y
P-4,Product_4,Electronics,Mobile,Brand_75,27708.66,14492.39,2023-07-04,N
P-5,Product_5,Electronics,Accessories,Brand_96,38789.97,26528.26,2023-02-15,N
P-6,Product_6,Home,Decor,Brand_44,47731.95,34772.07,2023-12-20,N
P-7,Product_7,Electronics,Accessories,Brand_76,7435.31,3782.16,2023-09-07,N
P-8,Product_8,Home,Furniture,Brand_79,31242.65,16501.05,2023-12-14,Y
P-9,Product_9,Home,Decor,Brand_95,20116.11,11969.49,2024-06-17,N
P-10,Product_10,Home,Decor,Brand_83,25293.81,19532.86,2022-07-30,Y
P-11,Product_11,Electronics,Mobile,Brand_26,3610.04,2306.38,2022-09-30,N
P-12,Product_12,Fashion,Men,Brand_45,14550.75,11100.84,2022-08-18,N
P-13,Product_13,Grocery,Beverages,Brand_80,41468.89,22577.05,2023-09-28,Y
P-14,Product_14,Grocery,Beverages,Brand_2,40491.61,30692.09,2023-05-15,Y
P-15,Product_15,Fashion,Women,Brand_66,41705.8,26422.58,2023-11-07,Y
P-16,Product_16,Electronics,Accessories,Brand_39,24203.7,16486.49,2023-04-30,N
P-17,Product_17,Home,Furniture,Brand_65,17229.9,9347.07,2022-05-12,N
P-18,Product_18,Grocery,Food,Brand_32,24402.03,18406.56,2024-12-01,Y
P-19,Product_19,Fashion,Women,Brand_87,14263.19,10019.36,2024-02-05,N
P-20,Product_20,Fashion,Kids,Brand_52,31312.71,16426.42,2023-11-02,N
P-21,Product_21,Grocery,Beverages,Brand_60,4034.86,2674.92,2023-07-09,Y
P-22,Product_22,Grocery,Beverages,Brand_19,22094.52,13834.5,2024-12-13,N
P-23,Product_23,Home,Furniture,Brand_74,10493.82,7011.34,2022-12-01,Y
P-24,Product_24,Electronics,Laptop,Brand_27,9726.55,4953.37,2023-02-09,N
P-25,Product_25,Fashion,Kids,Brand_96,42419.84,33238.73,2023-06-05,Y
P-26,Product_26,Electronics,Laptop,Brand_20,33220.05,24878.23,2022-11-16,Y
P-27,Product_27,Electronics,Mobile,Brand_36,15664.11,12257.05,2022-06-30,Y
P-28,Product_28,Electronics,Laptop,Brand_14,36685.82,25368.63,2023-01-14,N
P-29,Product_29,Grocery,Food,Brand_9,40512.39,24418.06,2024-03-02,N
P-30,Product_30,Electronics,Laptop,Brand_49,2375.11,1833.23,2022-04-22,N
P-31,Product_31,Grocery,Food,Brand_53,44127.84,31880.81,2023-09-23,N
P-32,Product_32,Electronics,Accessories,Brand_63,24068.46,14197.53,2022-06-13,N
P-33,Product_33,Grocery,Beverages,Brand_33,15592.17,11705.3,2023-04-27,Y
P-34,Product_34,Home,Furniture,Brand_43,46543.69,26822.12,2022-09-24,Y
P-35,Product_35,Fashion,Women,Brand_14,15176.62,9012.64,2023-02-19,Y
P-36,Product_36,Fashion,Men,Brand_11,2746.74,1855.28,2023-02-27,Y
P-37,Product_37,Electronics,Mobile,Brand_94,2604.57,1431.94,2022-05-13,N
P-38,Product_38,Home,Furniture,Brand_42,13423.09,6800.92,2023-07-29,N
P-39,Product_39,Fashion,Women,Brand_10,21798.81,11822.36,2024-05-03,Y
P-40,Product_40,Home,Furniture,Brand_89,38476.52,26711.57,2024-04-12,N
P-41,Product_41,Grocery,Food,Brand_33,33676.49,20362.57,2024-12-16,N
P-42,Product_42,Home,Decor,Brand_54,10642.79,7427.8,2024-01-28,Y
P-43,Product_43,Fashion,Men,Brand_45,29152.9,20867.88,2022-10-17,Y
P-44,Product_44,Home,Decor,Brand_6,17551.61,13873.79,2024-05-15,Y
P-45,Product_45,Home,Furniture,Brand_2,22164.84,14846.89,2024-11-17,N
P-46,Product_46,Home,Furniture,Brand_70,33255.11,25022.15,2022-04-17,N
P-47,Product_47,Electronics,Accessories,Brand_75,19522.09,10461.04,2024-07-22,N
P-48,Product_48,Electronics,Mobile,Brand_64,32409.08,23138.34,2022-08-02,Y
P-49,Product_49,Grocery,Beverages,Brand_83,14281.11,9117.83,2023-02-19,N
